"","X","hospital_name","provider_id","state","measure_name","number_of_discharges","footnote","excess_readmission_ratio","predicted_readmission_rate","expected_readmission_rate","number_of_readmissions","start_date","end_date","address","city","zip_code","county_name","phone_number","hospital_type","emergency_services","meets_criteria_for_meaningful_use_of_ehrs","hospital_overall_rating","mortality_national_comparison","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","patient_experience_national_comparison","effectiveness_of_care_national_comparison","timeliness_of_care_national_comparison","efficient_use_of_medical_imaging_national_comparison","location_city","location.type","long","lat","location_address","location_zip","location_state","hospital_overall_rating_footnote","mortality_national_comparison_footnote","readmission_national_comparison_footnote","patient_experience_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison_footnote","timeliness_of_care_national_comparison_footnote","effectiveness_of_care_national_comparison_footnote"
"13",433,"CARY MEDICAL CENTER",200031,"ME","AMI",NA,"5 - Results are not available for this reporting period.",0.9981,19.6971,19.7344,NA,"07/01/2014","06/30/2017","163 VAN BUREN RD, SUITE 1","CARIBOU",4736,"AROOSTOOK",2074983111,"Acute Care Hospitals",TRUE,TRUE,3,"Below the national average","Above the national average",NA,"Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","CARIBOU","Point",-68.009639,46.878237,"163 VAN BUREN RD, SUITE 1",4736,"ME",NA,NA,NA,NA,NA,NA,NA
"14",435,"CARY MEDICAL CENTER",200031,"ME","COPD",232,NA,1.026,20.7012,20.176,50,"07/01/2014","06/30/2017","163 VAN BUREN RD, SUITE 1","CARIBOU",4736,"AROOSTOOK",2074983111,"Acute Care Hospitals",TRUE,TRUE,3,"Below the national average","Above the national average",NA,"Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","CARIBOU","Point",-68.009639,46.878237,"163 VAN BUREN RD, SUITE 1",4736,"ME",NA,NA,NA,NA,NA,NA,NA
"15",436,"CARY MEDICAL CENTER",200031,"ME","HF",123,NA,1.0533,24.0565,22.8398,33,"07/01/2014","06/30/2017","163 VAN BUREN RD, SUITE 1","CARIBOU",4736,"AROOSTOOK",2074983111,"Acute Care Hospitals",TRUE,TRUE,3,"Below the national average","Above the national average",NA,"Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","CARIBOU","Point",-68.009639,46.878237,"163 VAN BUREN RD, SUITE 1",4736,"ME",NA,NA,NA,NA,NA,NA,NA
"16",437,"CARY MEDICAL CENTER",200031,"ME","HIP_KNEE",NA,"5 - Results are not available for this reporting period.",1.0237,4.597,4.4907,NA,"07/01/2014","06/30/2017","163 VAN BUREN RD, SUITE 1","CARIBOU",4736,"AROOSTOOK",2074983111,"Acute Care Hospitals",TRUE,TRUE,3,"Below the national average","Above the national average",NA,"Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","CARIBOU","Point",-68.009639,46.878237,"163 VAN BUREN RD, SUITE 1",4736,"ME",NA,NA,NA,NA,NA,NA,NA
"17",438,"CARY MEDICAL CENTER",200031,"ME","PN",185,NA,1.067,18.4109,17.2542,38,"07/01/2014","06/30/2017","163 VAN BUREN RD, SUITE 1","CARIBOU",4736,"AROOSTOOK",2074983111,"Acute Care Hospitals",TRUE,TRUE,3,"Below the national average","Above the national average",NA,"Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","CARIBOU","Point",-68.009639,46.878237,"163 VAN BUREN RD, SUITE 1",4736,"ME",NA,NA,NA,NA,NA,NA,NA
"18",490,"MADISON MEMORIAL HOSPITAL",130025,"ID","COPD",NA,"5 - Results are not available for this reporting period.",0.9496,16.331,17.1971,NA,"07/01/2014","06/30/2017","450 EAST MAIN STREET","REXBURG",83440,"MADISON",2083596900,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","REXBURG","Point",-111.773148,43.826051,"450 EAST MAIN STREET",83440,"ID",NA,NA,NA,NA,NA,NA,NA
"19",491,"MADISON MEMORIAL HOSPITAL",130025,"ID","HF",NA,"5 - Results are not available for this reporting period.",0.918,16.7861,18.2854,NA,"07/01/2014","06/30/2017","450 EAST MAIN STREET","REXBURG",83440,"MADISON",2083596900,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","REXBURG","Point",-111.773148,43.826051,"450 EAST MAIN STREET",83440,"ID",NA,NA,NA,NA,NA,NA,NA
"20",492,"MADISON MEMORIAL HOSPITAL",130025,"ID","HIP_KNEE",NA,"5 - Results are not available for this reporting period.",1.0284,3.7389,3.6358,NA,"07/01/2014","06/30/2017","450 EAST MAIN STREET","REXBURG",83440,"MADISON",2083596900,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","REXBURG","Point",-111.773148,43.826051,"450 EAST MAIN STREET",83440,"ID",NA,NA,NA,NA,NA,NA,NA
"21",493,"MADISON MEMORIAL HOSPITAL",130025,"ID","PN",NA,"5 - Results are not available for this reporting period.",0.8695,11.6293,13.375,NA,"07/01/2014","06/30/2017","450 EAST MAIN STREET","REXBURG",83440,"MADISON",2083596900,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","REXBURG","Point",-111.773148,43.826051,"450 EAST MAIN STREET",83440,"ID",NA,NA,NA,NA,NA,NA,NA
"22",561,"JOHNSON REGIONAL MEDICAL CENTER",40002,"AR","COPD",143,NA,0.9631,15.1634,15.7436,19,"07/01/2014","06/30/2017","1100 EAST POPLAR STREET","CLARKSVILLE",72830,"JOHNSON",4797545454,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","CLARKSVILLE","Point",-93.445797,35.464384,"1100 EAST POPLAR STREET",72830,"AR",NA,NA,NA,NA,NA,NA,NA
"23",562,"JOHNSON REGIONAL MEDICAL CENTER",40002,"AR","HF",99,NA,1.074,19.7658,18.4037,24,"07/01/2014","06/30/2017","1100 EAST POPLAR STREET","CLARKSVILLE",72830,"JOHNSON",4797545454,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","CLARKSVILLE","Point",-93.445797,35.464384,"1100 EAST POPLAR STREET",72830,"AR",NA,NA,NA,NA,NA,NA,NA
"24",563,"JOHNSON REGIONAL MEDICAL CENTER",40002,"AR","HIP_KNEE",NA,"5 - Results are not available for this reporting period.",0.9669,3.6801,3.8061,NA,"07/01/2014","06/30/2017","1100 EAST POPLAR STREET","CLARKSVILLE",72830,"JOHNSON",4797545454,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","CLARKSVILLE","Point",-93.445797,35.464384,"1100 EAST POPLAR STREET",72830,"AR",NA,NA,NA,NA,NA,NA,NA
"25",564,"JOHNSON REGIONAL MEDICAL CENTER",40002,"AR","PN",217,NA,0.9613,12.548,13.0529,25,"07/01/2014","06/30/2017","1100 EAST POPLAR STREET","CLARKSVILLE",72830,"JOHNSON",4797545454,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","CLARKSVILLE","Point",-93.445797,35.464384,"1100 EAST POPLAR STREET",72830,"AR",NA,NA,NA,NA,NA,NA,NA
"26",679,"JOHN DEMPSEY HOSPITAL",70036,"CT","AMI",209,NA,1.0398,15.597,15.0003,35,"07/01/2014","06/30/2017","263 FARMINGTON AVE","FARMINGTON",6032,"HARTFORD",8606791145,"Acute Care Hospitals",TRUE,NA,3,"Same as the national average","Below the national average",NA,"Below the national average","Above the national average","Same as the national average","Below the national average","Above the national average","FARMINGTON","Point",-72.79582,41.73509,"263 FARMINGTON AVE",6032,"CT",NA,NA,NA,NA,NA,NA,NA
"27",680,"JOHN DEMPSEY HOSPITAL",70036,"CT","CABG",NA,"5 - Results are not available for this reporting period.",0.9307,13.663,14.6796,NA,"07/01/2014","06/30/2017","263 FARMINGTON AVE","FARMINGTON",6032,"HARTFORD",8606791145,"Acute Care Hospitals",TRUE,NA,3,"Same as the national average","Below the national average",NA,"Below the national average","Above the national average","Same as the national average","Below the national average","Above the national average","FARMINGTON","Point",-72.79582,41.73509,"263 FARMINGTON AVE",6032,"CT",NA,NA,NA,NA,NA,NA,NA
"28",681,"JOHN DEMPSEY HOSPITAL",70036,"CT","COPD",183,NA,1.0275,20.1846,19.6439,39,"07/01/2014","06/30/2017","263 FARMINGTON AVE","FARMINGTON",6032,"HARTFORD",8606791145,"Acute Care Hospitals",TRUE,NA,3,"Same as the national average","Below the national average",NA,"Below the national average","Above the national average","Same as the national average","Below the national average","Above the national average","FARMINGTON","Point",-72.79582,41.73509,"263 FARMINGTON AVE",6032,"CT",NA,NA,NA,NA,NA,NA,NA
"29",682,"JOHN DEMPSEY HOSPITAL",70036,"CT","HF",481,NA,0.9675,19.5587,20.2153,92,"07/01/2014","06/30/2017","263 FARMINGTON AVE","FARMINGTON",6032,"HARTFORD",8606791145,"Acute Care Hospitals",TRUE,NA,3,"Same as the national average","Below the national average",NA,"Below the national average","Above the national average","Same as the national average","Below the national average","Above the national average","FARMINGTON","Point",-72.79582,41.73509,"263 FARMINGTON AVE",6032,"CT",NA,NA,NA,NA,NA,NA,NA
"30",683,"JOHN DEMPSEY HOSPITAL",70036,"CT","HIP_KNEE",NA,"5 - Results are not available for this reporting period.",0.9334,3.8119,4.084,NA,"07/01/2014","06/30/2017","263 FARMINGTON AVE","FARMINGTON",6032,"HARTFORD",8606791145,"Acute Care Hospitals",TRUE,NA,3,"Same as the national average","Below the national average",NA,"Below the national average","Above the national average","Same as the national average","Below the national average","Above the national average","FARMINGTON","Point",-72.79582,41.73509,"263 FARMINGTON AVE",6032,"CT",NA,NA,NA,NA,NA,NA,NA
"31",684,"JOHN DEMPSEY HOSPITAL",70036,"CT","PN",473,NA,1.0515,16.493,15.6849,81,"07/01/2014","06/30/2017","263 FARMINGTON AVE","FARMINGTON",6032,"HARTFORD",8606791145,"Acute Care Hospitals",TRUE,NA,3,"Same as the national average","Below the national average",NA,"Below the national average","Above the national average","Same as the national average","Below the national average","Above the national average","FARMINGTON","Point",-72.79582,41.73509,"263 FARMINGTON AVE",6032,"CT",NA,NA,NA,NA,NA,NA,NA
"32",786,"BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL",170110,"KS","PN",NA,"5 - Results are not available for this reporting period.",0.9618,12.1779,12.662,NA,"07/01/2014","06/30/2017","415 N MAIN STREET","ULYSSES",67880,"GRANT",6203561266,"Acute Care Hospitals",TRUE,TRUE,NA,NA,NA,"Results are not available for this reporting period.",NA,NA,"Same as the national average","Above the national average",NA,"ULYSSES","Point",-101.358013,37.583992,"415 N MAIN STREET",67880,"KS","There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.","Results are not available for this reporting period.","There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA,NA
"33",892,"SHARKEY ISSAQUENA COMMUNITY HOSPITAL",250079,"MS","HF",NA,"5 - Results are not available for this reporting period.",1.0048,17.4156,17.3326,NA,"07/01/2014","06/30/2017","47 SOUTH FOURTH ST","ROLLING FORK",39159,"SHARKEY",6628734395,"Acute Care Hospitals",TRUE,NA,NA,NA,NA,"Results are not available for this reporting period.","Same as the national average",NA,NA,NA,NA,"ROLLING FORK","Point",-90.884989,32.905373,"47 SOUTH FOURTH ST",39159,"MS","There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA,"There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.","There are too few measures or measure groups reported to calculate a star rating or measure group score.","There are too few measures or measure groups reported to calculate a star rating or measure group score."
"34",894,"SHARKEY ISSAQUENA COMMUNITY HOSPITAL",250079,"MS","PN",NA,"5 - Results are not available for this reporting period.",1.0395,13.1821,12.6816,NA,"07/01/2014","06/30/2017","47 SOUTH FOURTH ST","ROLLING FORK",39159,"SHARKEY",6628734395,"Acute Care Hospitals",TRUE,NA,NA,NA,NA,"Results are not available for this reporting period.","Same as the national average",NA,NA,NA,NA,"ROLLING FORK","Point",-90.884989,32.905373,"47 SOUTH FOURTH ST",39159,"MS","There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA,"There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.","There are too few measures or measure groups reported to calculate a star rating or measure group score.","There are too few measures or measure groups reported to calculate a star rating or measure group score."
"35",1021,"WITHAM HEALTH SERVICES",150104,"IN","AMI",NA,"5 - Results are not available for this reporting period.",1.0224,14.9912,14.6626,NA,"07/01/2014","06/30/2017","2605 N LEBANON ST","LEBANON",46052,"BOONE",7654858000,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","LEBANON","Point",-86.475209,40.076909,"2605 N LEBANON ST",46052,"IN",NA,NA,NA,NA,NA,NA,NA
"36",1023,"WITHAM HEALTH SERVICES",150104,"IN","COPD",161,NA,1.0552,18.0464,17.1029,33,"07/01/2014","06/30/2017","2605 N LEBANON ST","LEBANON",46052,"BOONE",7654858000,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","LEBANON","Point",-86.475209,40.076909,"2605 N LEBANON ST",46052,"IN",NA,NA,NA,NA,NA,NA,NA
"37",1024,"WITHAM HEALTH SERVICES",150104,"IN","HF",138,NA,0.9957,19.7611,19.8464,27,"07/01/2014","06/30/2017","2605 N LEBANON ST","LEBANON",46052,"BOONE",7654858000,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","LEBANON","Point",-86.475209,40.076909,"2605 N LEBANON ST",46052,"IN",NA,NA,NA,NA,NA,NA,NA
"38",1025,"WITHAM HEALTH SERVICES",150104,"IN","HIP_KNEE",NA,"5 - Results are not available for this reporting period.",1.0647,3.9172,3.679,NA,"07/01/2014","06/30/2017","2605 N LEBANON ST","LEBANON",46052,"BOONE",7654858000,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","LEBANON","Point",-86.475209,40.076909,"2605 N LEBANON ST",46052,"IN",NA,NA,NA,NA,NA,NA,NA
"39",1026,"WITHAM HEALTH SERVICES",150104,"IN","PN",248,NA,1.0202,15.6546,15.3442,40,"07/01/2014","06/30/2017","2605 N LEBANON ST","LEBANON",46052,"BOONE",7654858000,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","LEBANON","Point",-86.475209,40.076909,"2605 N LEBANON ST",46052,"IN",NA,NA,NA,NA,NA,NA,NA
"40",1117,"VENTURA COUNTY MEDICAL CENTER",50159,"CA","AMI",37,NA,1.0762,17.3609,16.1321,11,"07/01/2014","06/30/2017","300 HILLMONT AVENUE","VENTURA",93003,"VENTURA",8056526075,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Same as the national average",NA,"Same as the national average","Below the national average","Same as the national average","Below the national average","Same as the national average","VENTURA","Point",-119.254355,34.279055,"300 HILLMONT AVENUE",93003,"CA",NA,NA,NA,NA,NA,NA,NA
"41",1119,"VENTURA COUNTY MEDICAL CENTER",50159,"CA","COPD",65,NA,1.0445,18.1925,17.4179,15,"07/01/2014","06/30/2017","300 HILLMONT AVENUE","VENTURA",93003,"VENTURA",8056526075,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Same as the national average",NA,"Same as the national average","Below the national average","Same as the national average","Below the national average","Same as the national average","VENTURA","Point",-119.254355,34.279055,"300 HILLMONT AVENUE",93003,"CA",NA,NA,NA,NA,NA,NA,NA
"42",1120,"VENTURA COUNTY MEDICAL CENTER",50159,"CA","HF",102,NA,1.0046,20.3051,20.2128,21,"07/01/2014","06/30/2017","300 HILLMONT AVENUE","VENTURA",93003,"VENTURA",8056526075,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Same as the national average",NA,"Same as the national average","Below the national average","Same as the national average","Below the national average","Same as the national average","VENTURA","Point",-119.254355,34.279055,"300 HILLMONT AVENUE",93003,"CA",NA,NA,NA,NA,NA,NA,NA
"43",1121,"VENTURA COUNTY MEDICAL CENTER",50159,"CA","HIP_KNEE",NA,"5 - Results are not available for this reporting period.",1.1578,3.6256,3.1314,NA,"07/01/2014","06/30/2017","300 HILLMONT AVENUE","VENTURA",93003,"VENTURA",8056526075,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Same as the national average",NA,"Same as the national average","Below the national average","Same as the national average","Below the national average","Same as the national average","VENTURA","Point",-119.254355,34.279055,"300 HILLMONT AVENUE",93003,"CA",NA,NA,NA,NA,NA,NA,NA
"44",1122,"VENTURA COUNTY MEDICAL CENTER",50159,"CA","PN",154,NA,0.9484,14.3371,15.1171,19,"07/01/2014","06/30/2017","300 HILLMONT AVENUE","VENTURA",93003,"VENTURA",8056526075,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Same as the national average",NA,"Same as the national average","Below the national average","Same as the national average","Below the national average","Same as the national average","VENTURA","Point",-119.254355,34.279055,"300 HILLMONT AVENUE",93003,"CA",NA,NA,NA,NA,NA,NA,NA
"45",1327,"NORTHEASTERN HEALTH SYSTEM",370089,"OK","AMI",113,NA,1.0235,16.4035,16.0276,20,"07/01/2014","06/30/2017","1400 EAST DOWNING STREET","TAHLEQUAH",74465,"CHEROKEE",9184560641,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","TAHLEQUAH","Point",-94.950558,35.915326,"1400 EAST DOWNING STREET",74465,"OK",NA,NA,NA,NA,NA,NA,NA
"46",1328,"NORTHEASTERN HEALTH SYSTEM",370089,"OK","CABG",NA,"5 - Results are not available for this reporting period.",1.0122,13.6418,13.4775,NA,"07/01/2014","06/30/2017","1400 EAST DOWNING STREET","TAHLEQUAH",74465,"CHEROKEE",9184560641,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","TAHLEQUAH","Point",-94.950558,35.915326,"1400 EAST DOWNING STREET",74465,"OK",NA,NA,NA,NA,NA,NA,NA
"47",1329,"NORTHEASTERN HEALTH SYSTEM",370089,"OK","COPD",128,NA,0.9069,19.0654,21.0234,17,"07/01/2014","06/30/2017","1400 EAST DOWNING STREET","TAHLEQUAH",74465,"CHEROKEE",9184560641,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","TAHLEQUAH","Point",-94.950558,35.915326,"1400 EAST DOWNING STREET",74465,"OK",NA,NA,NA,NA,NA,NA,NA
"48",1330,"NORTHEASTERN HEALTH SYSTEM",370089,"OK","HF",222,NA,1.1089,25.2961,22.8116,63,"07/01/2014","06/30/2017","1400 EAST DOWNING STREET","TAHLEQUAH",74465,"CHEROKEE",9184560641,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","TAHLEQUAH","Point",-94.950558,35.915326,"1400 EAST DOWNING STREET",74465,"OK",NA,NA,NA,NA,NA,NA,NA
"49",1331,"NORTHEASTERN HEALTH SYSTEM",370089,"OK","HIP_KNEE",NA,"5 - Results are not available for this reporting period.",0.9936,3.8138,3.8385,NA,"07/01/2014","06/30/2017","1400 EAST DOWNING STREET","TAHLEQUAH",74465,"CHEROKEE",9184560641,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","TAHLEQUAH","Point",-94.950558,35.915326,"1400 EAST DOWNING STREET",74465,"OK",NA,NA,NA,NA,NA,NA,NA
"50",1332,"NORTHEASTERN HEALTH SYSTEM",370089,"OK","PN",293,NA,0.9249,15.2216,16.4578,40,"07/01/2014","06/30/2017","1400 EAST DOWNING STREET","TAHLEQUAH",74465,"CHEROKEE",9184560641,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","TAHLEQUAH","Point",-94.950558,35.915326,"1400 EAST DOWNING STREET",74465,"OK",NA,NA,NA,NA,NA,NA,NA
