"","X","hospital_name","provider_id","state","measure_name","number_of_discharges","footnote","excess_readmission_ratio","predicted_readmission_rate","expected_readmission_rate","number_of_readmissions","start_date","end_date","address","city","zip_code","county_name","phone_number","hospital_type","emergency_services","meets_criteria_for_meaningful_use_of_ehrs","hospital_overall_rating","mortality_national_comparison","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","patient_experience_national_comparison","effectiveness_of_care_national_comparison","timeliness_of_care_national_comparison","efficient_use_of_medical_imaging_national_comparison","location_city","location.type","long","lat","location_address","location_zip","location_state","hospital_overall_rating_footnote","mortality_national_comparison_footnote","readmission_national_comparison_footnote","patient_experience_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison_footnote","timeliness_of_care_national_comparison_footnote","effectiveness_of_care_national_comparison_footnote"
"11",3746,"REDLANDS COMMUNITY HOSPITAL",50272,"CA","AMI",NA,"5 - Results are not available for this reporting period.",0.9842,19.3761,19.6873,NA,"07/01/2014","06/30/2017","350 TERRACINA BLVD","REDLANDS",92373,"SAN BERNARDINO",9093355500,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Below the national average",NA,"Above the national average","Same as the national average","Same as the national average","Below the national average","Below the national average","REDLANDS","Point",-117.206414,34.038404,"350 TERRACINA BLVD",92373,"CA",NA,NA,NA,NA,NA,NA,NA
"12",3748,"REDLANDS COMMUNITY HOSPITAL",50272,"CA","COPD",91,NA,1.011,18.891,18.6862,18,"07/01/2014","06/30/2017","350 TERRACINA BLVD","REDLANDS",92373,"SAN BERNARDINO",9093355500,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Below the national average",NA,"Above the national average","Same as the national average","Same as the national average","Below the national average","Below the national average","REDLANDS","Point",-117.206414,34.038404,"350 TERRACINA BLVD",92373,"CA",NA,NA,NA,NA,NA,NA,NA
"13",3749,"REDLANDS COMMUNITY HOSPITAL",50272,"CA","HF",106,NA,0.9606,19.3526,20.1465,18,"07/01/2014","06/30/2017","350 TERRACINA BLVD","REDLANDS",92373,"SAN BERNARDINO",9093355500,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Below the national average",NA,"Above the national average","Same as the national average","Same as the national average","Below the national average","Below the national average","REDLANDS","Point",-117.206414,34.038404,"350 TERRACINA BLVD",92373,"CA",NA,NA,NA,NA,NA,NA,NA
"14",3750,"REDLANDS COMMUNITY HOSPITAL",50272,"CA","HIP_KNEE",395,NA,0.9037,3.5635,3.9435,12,"07/01/2014","06/30/2017","350 TERRACINA BLVD","REDLANDS",92373,"SAN BERNARDINO",9093355500,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Below the national average",NA,"Above the national average","Same as the national average","Same as the national average","Below the national average","Below the national average","REDLANDS","Point",-117.206414,34.038404,"350 TERRACINA BLVD",92373,"CA",NA,NA,NA,NA,NA,NA,NA
"15",3751,"REDLANDS COMMUNITY HOSPITAL",50272,"CA","PN",256,NA,0.9078,15.5304,17.1078,34,"07/01/2014","06/30/2017","350 TERRACINA BLVD","REDLANDS",92373,"SAN BERNARDINO",9093355500,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Below the national average",NA,"Above the national average","Same as the national average","Same as the national average","Below the national average","Below the national average","REDLANDS","Point",-117.206414,34.038404,"350 TERRACINA BLVD",92373,"CA",NA,NA,NA,NA,NA,NA,NA
"16",4861,"ST CLAIRE REGIONAL MEDICAL CENTER",180018,"KY","AMI",135,NA,0.9934,20.3263,20.4617,27,"07/01/2014","06/30/2017","222 MEDICAL CIRCLE","MOREHEAD",40351,"ROWAN",6067836502,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Below the national average","Same as the national average","Same as the national average","Above the national average","Above the national average","MOREHEAD","Point",-83.442454,38.180016,"222 MEDICAL CIRCLE",40351,"KY",NA,NA,NA,NA,NA,NA,NA
"17",4863,"ST CLAIRE REGIONAL MEDICAL CENTER",180018,"KY","COPD",229,NA,1.0447,22.5195,21.5558,55,"07/01/2014","06/30/2017","222 MEDICAL CIRCLE","MOREHEAD",40351,"ROWAN",6067836502,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Below the national average","Same as the national average","Same as the national average","Above the national average","Above the national average","MOREHEAD","Point",-83.442454,38.180016,"222 MEDICAL CIRCLE",40351,"KY",NA,NA,NA,NA,NA,NA,NA
"18",4864,"ST CLAIRE REGIONAL MEDICAL CENTER",180018,"KY","HF",305,NA,0.9564,22.5994,23.6295,66,"07/01/2014","06/30/2017","222 MEDICAL CIRCLE","MOREHEAD",40351,"ROWAN",6067836502,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Below the national average","Same as the national average","Same as the national average","Above the national average","Above the national average","MOREHEAD","Point",-83.442454,38.180016,"222 MEDICAL CIRCLE",40351,"KY",NA,NA,NA,NA,NA,NA,NA
"19",4865,"ST CLAIRE REGIONAL MEDICAL CENTER",180018,"KY","HIP_KNEE",NA,"5 - Results are not available for this reporting period.",0.9882,4.1514,4.2008,NA,"07/01/2014","06/30/2017","222 MEDICAL CIRCLE","MOREHEAD",40351,"ROWAN",6067836502,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Below the national average","Same as the national average","Same as the national average","Above the national average","Above the national average","MOREHEAD","Point",-83.442454,38.180016,"222 MEDICAL CIRCLE",40351,"KY",NA,NA,NA,NA,NA,NA,NA
"20",4866,"ST CLAIRE REGIONAL MEDICAL CENTER",180018,"KY","PN",516,NA,0.978,18.4837,18.8988,94,"07/01/2014","06/30/2017","222 MEDICAL CIRCLE","MOREHEAD",40351,"ROWAN",6067836502,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Below the national average","Same as the national average","Same as the national average","Above the national average","Above the national average","MOREHEAD","Point",-83.442454,38.180016,"222 MEDICAL CIRCLE",40351,"KY",NA,NA,NA,NA,NA,NA,NA
"21",5205,"TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN",450840,"TX","AMI",NA,"5 - Results are not available for this reporting period.",0.9833,13.3819,13.6095,NA,"07/01/2014","06/30/2017","1105 CENTRAL EXPRESSWAY NORTH","ALLEN",75013,"COLLIN",9727476197,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","ALLEN","Point",-96.671504,33.115433,"1105 CENTRAL EXPRESSWAY NORTH",75013,"TX",NA,NA,NA,NA,NA,NA,NA
"22",5207,"TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN",450840,"TX","COPD",72,NA,1.0493,18.625,17.7498,17,"07/01/2014","06/30/2017","1105 CENTRAL EXPRESSWAY NORTH","ALLEN",75013,"COLLIN",9727476197,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","ALLEN","Point",-96.671504,33.115433,"1105 CENTRAL EXPRESSWAY NORTH",75013,"TX",NA,NA,NA,NA,NA,NA,NA
"23",5208,"TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN",450840,"TX","HF",120,NA,0.9498,17.6254,18.5573,18,"07/01/2014","06/30/2017","1105 CENTRAL EXPRESSWAY NORTH","ALLEN",75013,"COLLIN",9727476197,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","ALLEN","Point",-96.671504,33.115433,"1105 CENTRAL EXPRESSWAY NORTH",75013,"TX",NA,NA,NA,NA,NA,NA,NA
"24",5209,"TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN",450840,"TX","HIP_KNEE",NA,"5 - Results are not available for this reporting period.",1.0012,4.3679,4.3626,NA,"07/01/2014","06/30/2017","1105 CENTRAL EXPRESSWAY NORTH","ALLEN",75013,"COLLIN",9727476197,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","ALLEN","Point",-96.671504,33.115433,"1105 CENTRAL EXPRESSWAY NORTH",75013,"TX",NA,NA,NA,NA,NA,NA,NA
"25",5210,"TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN",450840,"TX","PN",148,NA,1.0303,13.7092,13.3061,22,"07/01/2014","06/30/2017","1105 CENTRAL EXPRESSWAY NORTH","ALLEN",75013,"COLLIN",9727476197,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","ALLEN","Point",-96.671504,33.115433,"1105 CENTRAL EXPRESSWAY NORTH",75013,"TX",NA,NA,NA,NA,NA,NA,NA
"26",8566,"WILCOX MEMORIAL HOSPITAL",120014,"HI","COPD",NA,"5 - Results are not available for this reporting period.",0.9581,15.6878,16.3742,NA,"07/01/2014","06/30/2017","3-3420 KUHIO HIGHWAY","LIHUE",96766,"KAUAI",8082451103,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","LIHUE","Point",-159.366198,21.987043,"3-3420 KUHIO HIGHWAY",96766,"HI",NA,NA,NA,NA,NA,NA,NA
"27",8567,"WILCOX MEMORIAL HOSPITAL",120014,"HI","HF",111,NA,0.9845,17.986,18.2696,19,"07/01/2014","06/30/2017","3-3420 KUHIO HIGHWAY","LIHUE",96766,"KAUAI",8082451103,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","LIHUE","Point",-159.366198,21.987043,"3-3420 KUHIO HIGHWAY",96766,"HI",NA,NA,NA,NA,NA,NA,NA
"28",8568,"WILCOX MEMORIAL HOSPITAL",120014,"HI","HIP_KNEE",NA,"5 - Results are not available for this reporting period.",0.8898,2.9283,3.291,NA,"07/01/2014","06/30/2017","3-3420 KUHIO HIGHWAY","LIHUE",96766,"KAUAI",8082451103,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","LIHUE","Point",-159.366198,21.987043,"3-3420 KUHIO HIGHWAY",96766,"HI",NA,NA,NA,NA,NA,NA,NA
"29",8569,"WILCOX MEMORIAL HOSPITAL",120014,"HI","PN",160,NA,0.9714,12.9069,13.2868,19,"07/01/2014","06/30/2017","3-3420 KUHIO HIGHWAY","LIHUE",96766,"KAUAI",8082451103,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","LIHUE","Point",-159.366198,21.987043,"3-3420 KUHIO HIGHWAY",96766,"HI",NA,NA,NA,NA,NA,NA,NA
"30",8662,"TROY REGIONAL MEDICAL CENTER",10126,"AL","COPD",87,NA,1.0894,18.1287,16.6415,22,"07/01/2014","06/30/2017","1330 HIGHWAY 231 SOUTH","TROY",36081,"PIKE",3346705000,"Acute Care Hospitals",TRUE,NA,2,"Same as the national average","Same as the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","TROY","Point",-85.945529,31.780322,"1330 HIGHWAY 231 SOUTH",36081,"AL",NA,NA,NA,NA,NA,NA,NA
"31",8663,"TROY REGIONAL MEDICAL CENTER",10126,"AL","HF",104,NA,1.0407,20.6594,19.8515,24,"07/01/2014","06/30/2017","1330 HIGHWAY 231 SOUTH","TROY",36081,"PIKE",3346705000,"Acute Care Hospitals",TRUE,NA,2,"Same as the national average","Same as the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","TROY","Point",-85.945529,31.780322,"1330 HIGHWAY 231 SOUTH",36081,"AL",NA,NA,NA,NA,NA,NA,NA
"32",8664,"TROY REGIONAL MEDICAL CENTER",10126,"AL","HIP_KNEE",NA,"5 - Results are not available for this reporting period.",1.0383,4.3837,4.2221,NA,"07/01/2014","06/30/2017","1330 HIGHWAY 231 SOUTH","TROY",36081,"PIKE",3346705000,"Acute Care Hospitals",TRUE,NA,2,"Same as the national average","Same as the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","TROY","Point",-85.945529,31.780322,"1330 HIGHWAY 231 SOUTH",36081,"AL",NA,NA,NA,NA,NA,NA,NA
"33",8665,"TROY REGIONAL MEDICAL CENTER",10126,"AL","PN",114,NA,0.9347,13.9741,14.9506,12,"07/01/2014","06/30/2017","1330 HIGHWAY 231 SOUTH","TROY",36081,"PIKE",3346705000,"Acute Care Hospitals",TRUE,NA,2,"Same as the national average","Same as the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","TROY","Point",-85.945529,31.780322,"1330 HIGHWAY 231 SOUTH",36081,"AL",NA,NA,NA,NA,NA,NA,NA
"34",9466,"PLAINS REGIONAL MEDICAL CENTER",320022,"NM","COPD",133,NA,0.9338,16.5234,17.6955,17,"07/01/2014","06/30/2017","2100 N MARTIN LUTHER KING, JR, BLVD","CLOVIS",88101,"CURRY",5757697155,"Acute Care Hospitals",TRUE,TRUE,3,"Same as the national average","Below the national average",NA,"Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","CLOVIS","Point",-103.231763,34.42049,"2100 N MARTIN LUTHER KING, JR, BLVD",88101,"NM",NA,NA,NA,NA,NA,NA,NA
"35",9467,"PLAINS REGIONAL MEDICAL CENTER",320022,"NM","HF",81,NA,0.9627,18.9922,19.7285,13,"07/01/2014","06/30/2017","2100 N MARTIN LUTHER KING, JR, BLVD","CLOVIS",88101,"CURRY",5757697155,"Acute Care Hospitals",TRUE,TRUE,3,"Same as the national average","Below the national average",NA,"Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","CLOVIS","Point",-103.231763,34.42049,"2100 N MARTIN LUTHER KING, JR, BLVD",88101,"NM",NA,NA,NA,NA,NA,NA,NA
"36",9468,"PLAINS REGIONAL MEDICAL CENTER",320022,"NM","HIP_KNEE",NA,"5 - Results are not available for this reporting period.",1.0878,4.5966,4.2256,NA,"07/01/2014","06/30/2017","2100 N MARTIN LUTHER KING, JR, BLVD","CLOVIS",88101,"CURRY",5757697155,"Acute Care Hospitals",TRUE,TRUE,3,"Same as the national average","Below the national average",NA,"Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","CLOVIS","Point",-103.231763,34.42049,"2100 N MARTIN LUTHER KING, JR, BLVD",88101,"NM",NA,NA,NA,NA,NA,NA,NA
"37",9469,"PLAINS REGIONAL MEDICAL CENTER",320022,"NM","PN",224,NA,0.9086,13.661,15.0347,25,"07/01/2014","06/30/2017","2100 N MARTIN LUTHER KING, JR, BLVD","CLOVIS",88101,"CURRY",5757697155,"Acute Care Hospitals",TRUE,TRUE,3,"Same as the national average","Below the national average",NA,"Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","CLOVIS","Point",-103.231763,34.42049,"2100 N MARTIN LUTHER KING, JR, BLVD",88101,"NM",NA,NA,NA,NA,NA,NA,NA
"38",10728,"CROWNPOINT HEALTHCARE FACILITY",320062,"NM","PN",NA,"5 - Results are not available for this reporting period.",0.964,11.8596,12.3026,NA,"07/01/2014","06/30/2017","JUNCTION OF HWY 371","CROWNPOINT",87313,"MCKINLEY",5057865291,"Acute Care Hospitals",TRUE,NA,NA,NA,NA,"Results are not available for this reporting period.",NA,NA,NA,NA,NA,"CROWNPOINT",NA,NA,NA,"JUNCTION OF HWY 371",87313,"NM","There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.","Results are not available for this reporting period.","There are too few measures or measure groups reported to calculate a star rating or measure group score.","There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.","Results are not available for this reporting period."
"39",10947,"FORT DEFIANCE INDIAN HOSPITAL",30071,"AZ","COPD",NA,"5 - Results are not available for this reporting period.",0.9948,15.7985,15.8808,NA,"07/01/2014","06/30/2017","PO BOX 649","FORT DEFIANCE",86504,"APACHE",9287298000,"Acute Care Hospitals",TRUE,NA,2,"Same as the national average",NA,"Results are not available for this reporting period.","Below the national average","Same as the national average","Below the national average",NA,NA,"FORT DEFIANCE",NA,NA,NA,"PO BOX 649",86504,"AZ","This hospital's star rating only includes data reported on inpatient services.",NA,NA,NA,"There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA
"40",10948,"FORT DEFIANCE INDIAN HOSPITAL",30071,"AZ","HF",NA,"5 - Results are not available for this reporting period.",0.994,20.4381,20.5614,NA,"07/01/2014","06/30/2017","PO BOX 649","FORT DEFIANCE",86504,"APACHE",9287298000,"Acute Care Hospitals",TRUE,NA,2,"Same as the national average",NA,"Results are not available for this reporting period.","Below the national average","Same as the national average","Below the national average",NA,NA,"FORT DEFIANCE",NA,NA,NA,"PO BOX 649",86504,"AZ","This hospital's star rating only includes data reported on inpatient services.",NA,NA,NA,"There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA
"41",10950,"FORT DEFIANCE INDIAN HOSPITAL",30071,"AZ","PN",153,NA,0.9988,12.4625,12.4774,19,"07/01/2014","06/30/2017","PO BOX 649","FORT DEFIANCE",86504,"APACHE",9287298000,"Acute Care Hospitals",TRUE,NA,2,"Same as the national average",NA,"Results are not available for this reporting period.","Below the national average","Same as the national average","Below the national average",NA,NA,"FORT DEFIANCE",NA,NA,NA,"PO BOX 649",86504,"AZ","This hospital's star rating only includes data reported on inpatient services.",NA,NA,NA,"There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA
"42",11028,"P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET",270074,"MT","COPD",NA,"5 - Results are not available for this reporting period.",1.0047,16.1857,16.1104,NA,"07/01/2014","06/30/2017","760 HOSPITAL CIRCLE, POST OFFICE BOX 760","BROWNING",59417,"GLACIER",4063386157,"Acute Care Hospitals",TRUE,NA,NA,NA,NA,"Results are not available for this reporting period.","Same as the national average",NA,"Same as the national average",NA,NA,"BROWNING",NA,NA,NA,"760 HOSPITAL CIRCLE, POST OFFICE BOX 760",59417,"MT","There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA,"There are too few measures or measure groups reported to calculate a star rating or measure group score.","There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA
"43",11031,"P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET",270074,"MT","PN",NA,"5 - Results are not available for this reporting period.",0.9787,15.9966,16.3446,NA,"07/01/2014","06/30/2017","760 HOSPITAL CIRCLE, POST OFFICE BOX 760","BROWNING",59417,"GLACIER",4063386157,"Acute Care Hospitals",TRUE,NA,NA,NA,NA,"Results are not available for this reporting period.","Same as the national average",NA,"Same as the national average",NA,NA,"BROWNING",NA,NA,NA,"760 HOSPITAL CIRCLE, POST OFFICE BOX 760",59417,"MT","There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA,"There are too few measures or measure groups reported to calculate a star rating or measure group score.","There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA
"44",12187,"ALASKA NATIVE MEDICAL CENTER",20026,"AK","AMI",NA,"5 - Results are not available for this reporting period.",0.9526,14.4689,15.1886,NA,"07/01/2014","06/30/2017","4315 DIPLOMACY DR","ANCHORAGE",99508,"ANCHORAGE",9077293971,"Acute Care Hospitals",TRUE,NA,2,"Same as the national average","Below the national average",NA,"Above the national average","Below the national average","Same as the national average","Below the national average",NA,"ANCHORAGE","Point",-149.800578,61.18189,"4315 DIPLOMACY DR",99508,"AK",NA,NA,NA,NA,"There are too few measures or measure groups reported to calculate a star rating or measure group score.",NA,NA
"45",12189,"ALASKA NATIVE MEDICAL CENTER",20026,"AK","COPD",132,NA,0.9553,19.2849,20.1868,22,"07/01/2014","06/30/2017","4315 DIPLOMACY DR","ANCHORAGE",99508,"ANCHORAGE",9077293971,"Acute Care Hospitals",TRUE,NA,2,"Same as the national average","Below the national average",NA,"Above the national average","Below the national average","Same as the national average","Below the national average",NA,"ANCHORAGE","Point",-149.800578,61.18189,"4315 DIPLOMACY DR",99508,"AK",NA,NA,NA,NA,"There are too few measures or measure groups reported to calculate a star rating or measure group score.",NA,NA
"46",12190,"ALASKA NATIVE MEDICAL CENTER",20026,"AK","HF",113,NA,1.0905,23.332,21.3964,32,"07/01/2014","06/30/2017","4315 DIPLOMACY DR","ANCHORAGE",99508,"ANCHORAGE",9077293971,"Acute Care Hospitals",TRUE,NA,2,"Same as the national average","Below the national average",NA,"Above the national average","Below the national average","Same as the national average","Below the national average",NA,"ANCHORAGE","Point",-149.800578,61.18189,"4315 DIPLOMACY DR",99508,"AK",NA,NA,NA,NA,"There are too few measures or measure groups reported to calculate a star rating or measure group score.",NA,NA
